epoch,input_type,metric_name,layer,value
0,train,loss,,4.72700309753418
0,test,loss,,4.727819919586182
0,train,accuracy,,0.00816737487912178
0,test,accuracy,,0.010180109180510044
0,general,weights_l2,layers.0.weight,8.174010276794434
0,general,weights_l2,layers.1.weight,8.17453670501709
0,general,weights_l2,layers.2.weight,6.123414516448975
0,train,zero_terms,,0.0
0,train,softmax_collapse,,0.0
1,train,loss,,0.21688753366470337
1,test,loss,,5.269324779510498
1,train,accuracy,,0.9996643662452698
1,test,accuracy,,0.060819629579782486
1,general,weights_l2,layers.0.weight,46.860721588134766
1,general,weights_l2,layers.1.weight,48.642791748046875
1,general,weights_l2,layers.2.weight,40.88621139526367
1,train,zero_terms,,0.0
1,train,softmax_collapse,,0.0
2,train,loss,,0.0023243611212819815
2,test,loss,,3.765683650970459
2,train,accuracy,,1.0
2,test,accuracy,,0.2678152024745941
2,general,weights_l2,layers.0.weight,53.71464157104492
2,general,weights_l2,layers.1.weight,57.05998229980469
2,general,weights_l2,layers.2.weight,47.95652389526367
2,train,zero_terms,,0.0
2,train,softmax_collapse,,0.0
3,train,loss,,0.00011022391117876396
3,test,loss,,2.9510486125946045
3,train,accuracy,,1.0
3,test,accuracy,,0.416862428188324
3,general,weights_l2,layers.0.weight,57.015281677246094
3,general,weights_l2,layers.1.weight,61.19755935668945
3,general,weights_l2,layers.2.weight,51.41271209716797
3,train,zero_terms,,0.00022376370552696352
3,train,softmax_collapse,,0.00033564557088539004
4,train,loss,,6.2500853346136864e-06
4,test,loss,,2.343878984451294
4,train,accuracy,,1.0
4,test,accuracy,,0.523884117603302
4,general,weights_l2,layers.0.weight,59.63993835449219
4,general,weights_l2,layers.1.weight,64.52324676513672
4,general,weights_l2,layers.2.weight,54.183841705322266
4,train,zero_terms,,0.006265383754754978
4,train,softmax_collapse,,0.006824792828410864
5,train,loss,,3.7983454603818245e-07
5,test,loss,,1.8594379425048828
5,train,accuracy,,1.0
5,test,accuracy,,0.6186374425888062
5,general,weights_l2,layers.0.weight,61.8207893371582
5,general,weights_l2,layers.1.weight,67.31759643554688
5,general,weights_l2,layers.2.weight,56.516448974609375
5,train,zero_terms,,0.08547773551130007
5,train,softmax_collapse,,0.08995301276445389
6,train,loss,,4.4573440050044155e-08
6,test,loss,,1.6137773990631104
6,train,accuracy,,1.0
6,test,accuracy,,0.6731923818588257
6,general,weights_l2,layers.0.weight,64.81290435791016
6,general,weights_l2,layers.1.weight,71.32865142822266
6,general,weights_l2,layers.2.weight,59.70951461791992
6,train,zero_terms,,0.644663235623182
6,train,softmax_collapse,,0.6821436285972595
7,train,loss,,1.2459756248972553e-07
7,test,loss,,2.3850677013397217
7,train,accuracy,,1.0
7,test,accuracy,,0.6348211765289307
7,general,weights_l2,layers.0.weight,91.99840545654297
7,general,weights_l2,layers.1.weight,100.9593276977539
7,general,weights_l2,layers.2.weight,71.32740020751953
7,train,zero_terms,,0.4621839337659432
7,train,softmax_collapse,,0.47370776534080505
8,train,loss,,3.2553754181208205e-07
8,test,loss,,2.278430223464966
8,train,accuracy,,1.0
8,test,accuracy,,0.656747579574585
8,general,weights_l2,layers.0.weight,101.98979187011719
8,general,weights_l2,layers.1.weight,110.59485626220703
8,general,weights_l2,layers.2.weight,72.68663024902344
8,train,zero_terms,,0.5617587827254419
8,train,softmax_collapse,,0.5633251070976257
9,train,loss,,1.0919291781874563e-07
9,test,loss,,2.177295207977295
9,train,accuracy,,1.0
9,test,accuracy,,0.6682328581809998
9,general,weights_l2,layers.0.weight,102.05644989013672
9,general,weights_l2,layers.1.weight,110.60717010498047
9,general,weights_l2,layers.2.weight,72.6880111694336
9,train,zero_terms,,0.6324681136719624
9,train,softmax_collapse,,0.6360483169555664
10,train,loss,,8.138454177242238e-08
10,test,loss,,2.1967391967773438
10,train,accuracy,,1.0
10,test,accuracy,,0.6651005148887634
10,general,weights_l2,layers.0.weight,102.780517578125
10,general,weights_l2,layers.1.weight,110.75485229492188
10,general,weights_l2,layers.2.weight,72.7169418334961
10,train,zero_terms,,0.6097560975609756
10,train,softmax_collapse,,0.6203848719596863
11,train,loss,,1.1386099885157819e-07
11,test,loss,,2.3423852920532227
11,train,accuracy,,1.0
11,test,accuracy,,0.6619681715965271
11,general,weights_l2,layers.0.weight,109.33464813232422
11,general,weights_l2,layers.1.weight,112.29151153564453
11,general,weights_l2,layers.2.weight,72.99113464355469
11,train,zero_terms,,0.496979189975386
11,train,softmax_collapse,,0.5082792639732361
12,train,loss,,1.0630852784743183e-06
12,test,loss,,2.4247140884399414
12,train,accuracy,,1.0
12,test,accuracy,,0.6674497723579407
12,general,weights_l2,layers.0.weight,114.5930404663086
12,general,weights_l2,layers.1.weight,114.0000228881836
12,general,weights_l2,layers.2.weight,73.23066711425781
12,train,zero_terms,,0.5468784963078989
12,train,softmax_collapse,,0.5488923788070679
13,train,loss,,1.7494596704636933e-07
13,test,loss,,2.22223162651062
13,train,accuracy,,1.0
13,test,accuracy,,0.6789349913597107
13,general,weights_l2,layers.0.weight,114.60667419433594
13,general,weights_l2,layers.1.weight,114.00299835205078
13,general,weights_l2,layers.2.weight,73.23094940185547
13,train,zero_terms,,0.637950324457373
13,train,softmax_collapse,,0.6395166516304016
14,train,loss,,7.004778979080584e-08
14,test,loss,,2.1358373165130615
14,train,accuracy,,1.0
14,test,accuracy,,0.6838945150375366
